Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[Direitos Humanos] São considerados direitos de terceira geração/dimensão, ligados à fraternidade e solidariedade:",Direito à vida e à liberdade de expressão.,"Direito ao meio ambiente equilibrado, à paz e ao desenvolvimento.",Direito à saúde e à educação.,Direito de voto.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 134)",Difícil
"[Direitos Humanos] São características/princípios dos direitos humanos, EXCETO:",Universalidade.,Indivisibilidade.,Renunciabilidade.,Inter-relação/interdependência.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 135)",Fácil
"[Direitos Humanos] O tratado internacional de direitos humanos aprovado, em cada Casa do Congresso Nacional, em dois turnos, por três quintos dos votos dos respectivos membros, será equivalente a:",Lei ordinária.,Lei complementar.,Emenda constitucional.,Decreto legislativo apenas. 27,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 136)",Médio
[Direitos Humanos] O Pacto de San José da Costa Rica é a denominação usual da:,Declaração Universal dos Direitos Humanos.,Convenção Americana sobre Direitos Humanos.,Convenção Europeia de Direitos Humanos.,Carta das Nações Unidas.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 137)",Difícil
[Direitos Humanos] São órgãos do Sistema Interamericano de Proteção dos Direitos Humanos:,Comissão Interamericana de Direitos Humanos e Corte Interamericana de Direitos Humanos.,Comissão Europeia e Tribunal Europeu.,Conselho de Segurança da ONU e Assembleia Geral.,Comitê de Direitos Humanos da ONU e ECOSOC.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 138)",Fácil
"[Direitos Humanos] A dignidade da pessoa humana, fundamento axiológico dos direitos humanos e fundamento da República Federativa do Brasil, está prevista, na CF/88, no:","Art. 1º, III.","Art. 5º, caput.","Art. 3º, IV.",Art. 6º.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 139)",Médio
"[Direitos Humanos] A tortura é vedada de forma absoluta pelo ordenamento brasileiro, sendo tipificada como crime:",Sujeito a fiança e liberdade provisória.,Inafiançável e insuscetível de graça ou anistia.,Prescritível em prazo reduzido.,Punível apenas com pena de multa.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 140)",Difícil
"[Direitos Humanos] O Tribunal Penal Internacional (TPI), criado pelo Estatuto de Roma, tem competência para julgar, entre outros, os crimes de:","Genocídio, crimes contra a humanidade, crimes de guerra e crime de agressão.",Furto e roubo qualificado.,Improbidade administrativa.,Crimes eleitorais.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 141)",Fácil
"[Direitos Humanos] A Convenção sobre os Direitos da Criança (1989) inspirou, no ordenamento jurídico brasileiro, a doutrina da proteção integral, consagrada:",No Código Penal.,No Estatuto da Criança e do Adolescente.,Na Consolidação das Leis do Trabalho.,No Código Civil. 28,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 142)",Médio
"[Direitos Humanos] A Convenção sobre os Direitos das Pessoas com Deficiência, com status de emenda constitucional, adota o conceito de deficiência centrado:",Exclusivamente no modelo médico/biológico.,Na interação entre impedimentos de longo prazo e barreiras que obstruem a participação plena na sociedade.,Apenas na incapacidade laboral.,Apenas em critérios previdenciários.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 143)",Difícil
"[Direitos Humanos] É correto afirmar que os direitos humanos, no plano internacional, e os direitos fundamentais, no plano constitucional interno, guardam entre si relação de:",Total autonomia e desconexão.,"Complementaridade, sendo os direitos fundamentais, em geral, a positivação interna dos direitos humanos.","Hierarquia, sendo os direitos fundamentais superiores aos direitos humanos.",Identidade absoluta de conteúdo e terminologia em todos os ordenamentos.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 144)",Fácil
"[Direitos Humanos] A Lei Maria da Penha tem fundamento, entre outros diplomas internacionais, na:",Convenção de Belém do Pará.,Convenção de Genebra.,Convenção de Viena sobre Direito dos Tratados.,Carta de São Francisco.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 145)",Médio
"[Direitos Humanos] O princípio da vedação ao retrocesso social, aplicável à proteção dos direitos humanos, significa que:",Os direitos podem ser livremente suprimidos por lei ordinária superveniente.,"Uma vez concretizado um direito social, não se admite, em regra, sua supressão ou redução sem medida compensatória equivalente.",Aplica-se apenas aos direitos de primeira geração.,Não possui reconhecimento na doutrina ou jurisprudência.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 146)",Difícil
"[Direitos Humanos] Na  hierarquia  normativa  reconhecida  pelo  STF,  um  tratado  internacional  de  direitos  humanos  não incorporado pelo rito do art. 5º, §3º, da CF/88 possui status:",De emenda constitucional.,"Supralegal (acima da lei ordinária, mas abaixo da Constituição).","De lei ordinária comum, sem qualquer diferenciação.","Infralegal, equivalente a decreto. 29",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 147)",Fácil
[Direitos Humanos] O princípio da indivisibilidade dos direitos humanos estabelece que:,"Os direitos civis, políticos, econômicos, sociais e culturais devem ser considerados em conjunto, sem hierarquia entre eles.",Apenas os direitos civis e políticos são verdadeiros direitos humanos.,Cada direito humano pode ser fracionado e negociado separadamente.,Os direitos sociais são secundários em relação aos civis.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 148)",Médio
"[Direitos Humanos] É objetivo fundamental da República Federativa do Brasil, previsto no art. 3º da CF/88, e diretamente relacionado à promoção dos direitos humanos:","Garantir o desenvolvimento nacional, apenas.","Promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.",Reduzir apenas a inflação.,Ampliar exclusivamente o comércio exterior.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 149)",Difícil
"[Direitos Humanos] A  Declaração  Universal  dos  Direitos  Humanos,  embora  não  tivesse,  originalmente,  força  de  tratado vinculante, serviu de base para:","O Pacto Internacional de Direitos Civis e Políticos e o Pacto Internacional de Direitos Econômicos, Sociais e Culturais, ambos de 1966.","A Carta das Nações Unidas, de 1945, anterior a ela.","A Constituição dos Estados Unidos, de 1787.",O Código de Napoleão.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 150)",Fácil
"[Direitos Humanos] No uso da força por agentes de segurança pública, os princípios internacionais de direitos humanos recomendam que o uso da força seja pautado, entre outros, pelos critérios de:",Discricionariedade absoluta e ausência de controle.,"Legalidade, necessidade, proporcionalidade e moderação.",Uso preferencial de arma de fogo em qualquer abordagem.,Ausência de responsabilização posterior.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 151)",Médio
"[Direitos Humanos] A vedação absoluta à tortura e a tratamentos cruéis, desumanos ou degradantes constitui, no Direito Internacional, uma norma de caráter:","Jus cogens (norma imperativa, inderrogável).","Meramente programática, sem eficácia jurídica.",Facultativa aos Estados signatários.,Aplicável somente em tempos de paz. 30,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 152)",Difícil
"[Direitos Humanos] A condição de refugiado, protegida internacionalmente, está associada, em regra, a fundado temor de perseguição por motivos de:","Raça, religião, nacionalidade, grupo social ou opinião política.",Exclusivamente questões econômicas.,Apenas conflitos armados internos.,Apenas desastres naturais.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 153)",Fácil
"[Direitos Humanos] A atuação da Polícia Militar deve observar os direitos humanos como parâmetro de legitimidade da ação estatal, o que implica, entre outras exigências:","A vedação de qualquer uso da força, mesmo em legítima defesa.","O uso proporcional e necessário da força, com respeito à dignidade da pessoa, inclusive de quem está sob custódia.",A dispensa de prestação de socorro a feridos durante ocorrências.,A ausência de controle externo sobre a atividade policial.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 154)",Médio
"[Direitos Humanos] O controle externo da atividade policial, previsto no art. 129, VII, da CF/88, é atribuição institucional:","Do próprio comando da corporação policial, exclusivamente.",Do Ministério Público.,"Do Poder Legislativo, exclusivamente.","Da Defensoria Pública, exclusivamente. 31 LEI DE INTRODUÇÃO ÀS NORMAS DO DIREITO BRASILEIRO (LINDB) Volume 2 — nível avançado",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 155)",Difícil
