Pergunta,A,B,C,D,Correta,Comentario,Nivel
[Português] Marque a alternativa CORRET,"No início da narrativa, observa-se que o escritor é indagado por um jornalista. Qual trecho do texto melhor explica o motivo pelo qual o escritor decide responder à pergunta sobre qual seria o seu melhor conto? A.""Indagação típica de jovens jornalistas; [...]"".","""Meu melhor conto... Não está em nenhum dos meus livros, em nenhuma antologia, em nenhuma publicação.""","""Minhas histórias estavam impregnadas de indignação; [...]""","""Dá mais trabalho explicar por que a gente não responde do que simplesmente responder.""",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 11)",Difícil
"[Português] Analise as proposições sobre o texto ""Meu melhor conto"" e responda: I. O autor, quando ainda jovem, se inspirava na injustiça social, aliada à imaginação, para escrever os seus textos. II. Segundo o autor, quando ele era jovem, além de ser escritor era militante político. III. Infere-se que um dos motivos da prisão do autor foi sua participação em manifestações políticas. IV. Para garantir sua liberdade e sair da prisão, o escritor propôs ao Tenente Jaguar a produção de um conto. V. O Tenente Jaguar escrevia contos e se julgava tão bom quanto o escritor preso. Estão CORRETAS as proposições:","I, II e III, apenas.","I e II, apenas.","I, II e IV, apenas.","I, II, III, IV e V. 6",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 12)",Fácil
"[Português] Após  leitura  do  último  parágrafo  do  texto,  infere-se  possíveis  sentimentos  por  parte  do  Tenente  Jaguar, EXCETO.",Gratidão.,Ironia.,Raiva.,Reconhecimento.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 13)",Médio
"[Português] Marque a alternativa CORRETA que aponta a figura de linguagem utilizada pelo autor no trecho sublinhado: ""O chefe da Usina Pequena era o Tenente Jaguar. Esse não era o seu verdadeiro nome, mas o apelido era mais que o apropriado: ele tinha mesmo cara de felino, e de felino muito feroz. Ao sorrir, mostrava os caninos enormes - e isso era suficiente para dar calafrios nos prisioneiros.""",Sinestesia.,Metáfora.,Onomatopeia.,Perífrase.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 14)",Difícil
[Português] Marque a alternativa CORRET,"No excerto ""Fizeram o possível para me soltar, falaram com Deus e todo o mundo, com políticos, jornalistas e até generais."", a figura de linguagem utilizada no trecho em destaque foi a: A.Hipérbole.",Antítese.,Ironia.,Personificação.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 15)",Fácil
"[Português] No fragmento ""Pertence ao Tenente, que esses dias, aliás, vi na rua: um ancião alquebrado, que anda apoiado numa bengala."", a palavra em destaque (""alquebrado"") pode ser substituída por qual vocábulo abaixo, sem que o sentido do texto seja alterado?",Vigoroso.,Renovado.,Prostrado.,Aprumado.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 16)",Médio
[Português] Marque a alternativa CORRET,"Na frase ""Contava a história de um pai e um filho moribundo."", o vocábulo destacado (""moribundo"") exerce a função de: A.Adjetivo.",Advérbio.,Substantivo.,Pronome. 7,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 17)",Difícil
"[Português] Analise o fragmento a seguir: ""Mas eu não sabia e foi o que respondi, numa voz trêmula, que não sabia."" Marque a alternativa CORRET","A palavra sublinhada (""Mas"") INTRODUZ: A.Uma explicação.",Uma adição.,Uma consequência.,Uma oposição.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 18)",Fácil
"[Português] No trecho ""Estava concluindo o curso de Letras e acabara de publicar meu primeiro livro [...]"", o verbo sublinhado (""acabara"") está conjugado em qual tempo verbal?",Pretérito mais-que-perfeito.,Pretérito imperfeito.,Futuro do presente.,Futuro do pretérito.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 19)",Médio
"[Português] Observe os trechos abaixo, extraídos do texto de referência, e, após análise da estrutura sintática, marque a alternativa CORRETA em que há uma oração.","""Eu escrevo.""","""Mas, e agora?""","""E os choques?""","""Meu melhor conto...""",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 20)",Difícil
"[Português] Para a formação do período composto, podemos utilizar dois processos sintáticos: a coordenação e/ou a subordinação. Nesse sentido, marque a alternativa CORRETA que apresenta na frase um período composto por subordinação:","""Leu meu prontuário e começou o interrogatório.""","""No quarto choque desmaiei, e me levaram de volta para a cela.""","""Se eu quisesse, poderia escrevê-la numa sentada"".","""Abriu uma gaveta e tirou de lá um recorte de jornal.""",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 21)",Fácil
"[Português] Assinale a alternativa CORRETA em que todas as palavras foram formadas a partir do mesmo processo de derivação, observado na palavra ""aterrorizado"".","Envergonhado, enlouquecer, apropriado, acostumado.","Simplesmente, inteiramente, desaparecer, indignação.","Desabaladamente, apavorado, inútil, paradeiro.","Prisioneiro, cubículo, cigarrilha, injustiça.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 22)",Médio
"[Português] Considerando  que  a  maioria  dos  advérbios  modifica  o  verbo,  com  o  intuito  de  lhe  acrescentar  uma circunstância, marque a alternativa cujo termo destacado NÃO é um advérbio:","""[...] vocês vêm aqui, com esses pequenos gravadores [...].""","""[...] e, eu, que à época nada tinha de modesto, concordava inteiramente: [...]"".","""Indagação típica de jovens jornalistas [...]""","""Durante dois dias ali fiquei, deitado no chão, encolhido, apavorado."" 8",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 23)",Difícil
"[Português] Considerando a importância dos sinais de pontuação, analise o uso dos dois-pontos na frase: ""É uma revelação, diziam todos, e eu, que à época nada tinha de modesto, concordava inteiramente: considerava-me um gênio."" Os dois-pontos foram utilizados para ______________________________.",Indicar uma explicação.,Anunciar a fala de um personagem.,Indicar uma citação.,Enumerar ações.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 24)",Fácil
"[Português] Leia o trecho: ""Nunca fiquei sabendo o que aconteceu depois, o resultado do concurso, nada disso. [...] Mas não o farei. Esse conto não me pertence. [...]"" No excerto ""Mas não o farei."", o termo ""o"" faz referência a qual trecho do texto?","""Nunca fiquei sabendo o que aconteceu depois, o resultado do concurso, nada disso.""","""Se eu quisesse, poderia escrevê-la de uma sentada.""","""A narrativa continuava dentro de mim, como continua até hoje.""","""Esse conto não me pertence.""",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 25)",Médio
[Português] Analise os fragmentos abaixo e assinale a alternativa CORRETA que contém um pronome relativo:,"""Queria saber o paradeiro de um de meus professores, suspeito de ser um líder importante na guerrilha.""","""Da cela que eu ocupava, um cubículo escuro, úmido e fétido, eu ouvia os gritos dos prisioneiros [...]""","""Leu meu prontuário e começou o interrogatório.""","""Ele me olhou e estava claramente decidindo se eu falava a verdade ou se era bom ator.""",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 26)",Difícil
[Português] Observe a concordância dos particípios abaixo e marque a alternativa CORRETA:,Deve ser levado em conta a boa vontade dele.,"Se observado as normas de segurança, a escalada oferece poucos riscos.","Entretido com seus brinquedos, João e suas irmãs nem olharam para mim.",Não será permitida a entrada de animais neste recinto.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 27)",Fácil
[Português] Analise a concordância verbal das assertivas: I. Raros são os dias em que não acontecem fatos desagradáveis. II. Sobra-lhe motivos para considerar-se uma pessoa capaz de vencer esse desafio. III. Um bloco de foliões animava o centro da cidade. IV. A maioria dos trabalhadores recebeu a notícia com grande tristeza. V. Não haviam vizinhos ali que concordassem com a obra. Estão CORRETAS as assertivas:,"I, II e III, apenas.","I, III e IV, apenas.","II, IV, apenas.","III, IV e V, apenas. 9",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 28)",Médio
"[Português] O texto I é um excerto do romance ""O homem que enganava a morte"", obra ficcional que conta a trajetória do personagem Pedro em vários momentos de sua vida. Com base nas afirmações abaixo: I. Forma literária narrativa escrita em prosa. II. Exposição de tema com um ponto de vista prescritivo e injuntivo. III. Pontos de vista com perspectiva em primeira e em terceira pessoa. IV. História que pode variar entre diferentes períodos temporais. V. Texto predominantemente argumentativo e dissertativo. Está CORRETA a seguinte assertiva:",Todas as alternativas são falsas.,Há somente uma alternativa falsa.,Há somente duas alternativas verdadeiras.,Há somente três alternativas verdadeiras.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 29)",Difícil
[Português] Como a percepção do protagonista em relação ao sargento Robson Aloísio evolui durante o texto? Marque a alternativa CORRETA:,"A perspectiva do protagonista não mudou ao longo do texto, sugerindo que a percepção de Pedro sobre o sargento permaneceu impassível.","O protagonista mantém uma visão negativa constante do sargento, ignorando quaisquer nuances na caracterização deste personagem.","O protagonista oscila entre uma visão negativa e positiva do sargento, mostrando conflitos internos em relação às atitudes do militar.","O protagonista inicialmente parece intrigado, mas muda sua percepção de forma profícua em relação ao sargento, ao longo da história, destacando os atos de gentileza do militar.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 30)",Fácil
[Português] Qual é a função simbólica atribuída ao café na caracterização do sargento Robson Aloisio ao longo da narrativa?,"O café é utilizado como um dispositivo literário para destacar a humanidade do sargento, revelando-o como um personagem empedernido e abstraído.","O café simboliza a acidez e o amargor do sargento, refletindo sua abordagem inexorável para com seus deveres policiais.","O ato de preparar o café e o aroma da bebida são detalhes descritivos, simbolizando a preocupação do sargento em recepcionar sua equipe.","A bebida representa a indulgência e a descontração do sargento, revelando um lado afável e amistoso de sua personalidade.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 31)",Médio
"[Português] Considerando a citação do padre Juca: ""Tudo que lhe é dado lhe será cobrado!"", e as ações do sargento Robson Aloísio na história, analise: ( ) A citação influencia o sargento a agir de forma dogmática, demonstrando uma visão cética sobre a natureza humana e seu papel como autoridade policial. ( ) O entendimento do sargento sobre a citação o motiva a assumir uma postura responsável e benevolente, buscando manter a paz na comunidade através do diálogo. ( ) A citação do padre Juca não tem qualquer impacto nas ações do sargento, que age de acordo com sua própria interpretação dos deveres policiais. ( ) O sargento utiliza a citação como uma forma de estabelecer sua autoridade, primando pela negligência com suas responsabilidades para com a comunidade. Marque a opção CORRETA:",Uma alternativa é falsa e três são verdadeiras.,Somente duas alternativas são verdadeiras.,Três alternativas são falsas.,Todas as alternativas são falsas. 10,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 32)",Difícil
"[Português] Assinale a alternativa em que o termo destacado NÃO apresenta a mesma função sintática de ""mas entendia o caráter divino da autoridade"".","Eles queriam sair, porém estava chovendo.","Não só foi descortês, mas também expulsou o aluno da sala.","Gosto de correr, contudo prefiro nadar.","O jogador sabia que poderia não dar certo, não obstante, resolveu tentar.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 33)",Fácil
"[Português] O termo em destaque ""E que, enfim, queria entrar para a polícia."" justifica-se para indicar uma ideia de:",Conclusão.,Continuação.,Comparação.,Explicação.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 34)",Médio
"[Português] Considerando as afirmações a seguir sobre o Texto II, marque V ou F: ( ) A palavra ""Republicana"" é formada por um processo de derivação parassintética; ela deriva do substantivo ""público"" pela adição do prefixo ""Re-"" e do sufixo ""-ana"". ( ) O acento gráfico na palavra ""Polícia"" se justifica por ser uma paroxítona com ditongo crescente. ( ) Em ""Corpo de Guardas Municipais Permanentes"", a palavra ""permanentes"" exerce função de um adjetivo. ( ) Na palavra ""Dragões"" em Dragões Del Rei predomina a figura de linguagem denominada ""Prosopopeia"". Marque a alternativa com a sequência CORRETA, de cima para baixo:","F, V, V, F.","V, V, F, V.","V, F, V, F.","F, F, V, V.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 35)",Difícil
"[Português] ""A cor do fardamento somente foi modificada para o brim prussiano caqui, em virtude das reformas do Coronel Dexter, a partir de 1912"". As palavras em destaque (""somente"", ""prussiano"", ""a partir de"") são exemplos de:","Conjunção, advérbio e locução adjetiva.","Advérbio, adjetivo e locução prepositiva.","Advérbio, substantivo masculino e locução adverbial.","Preposição, adjetivo e conjunção.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 36)",Fácil
"[Português] Na oração ""Mesmo com as mudanças de nome, nos 193 primeiros anos, seus integrantes utilizaram fardas predominantemente na cor azul"", as palavras em destaque possuem diferenças quanto ao número e tipos de fonemas. Assinale a alternativa ERRADA:","A palavra ""predominantemente"" tem igual número de fonemas comparado a ""preponderantemente"".","Tanto a palavra ""mulher"" quanto a palavra ""fixo"" apresentam iguais números de fonemas que ""mesmo"".","A palavra ""campo"" e a palavra ""mesmo"" possuem número de fonemas iguais.","A palavra ""eletrodoméstico"" possui número de fonemas idêntico ao da palavra ""predominantemente"". 11",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 37)",Médio
"[Português] Considerando os aspectos ortográficos, analise: I. É obrigatório o uso do hífen em palavras como sobre- humano, ultra-humano, supra-humano e super-humano. II. Do mesmo modo, as palavras anti-sequestro, anti- reflexo e anti-horário devem ser grafadas com o hífen. III. O uso do hífen também é obrigatório em palavras com os prefixos  tônicos  pós-,  pré-  e  pró-,  como  pós-venda,  pré-científico  e  pró-reitor,  por  exemplo.  IV.  O  hífen  está corretamente empregado quando o prefixo ""bem"" exercer a função de advérbio, a exemplo de bem-aplicado, bem- aceito e bem-elaborado.",Todas as alternativas estão corretas.,Três alternativas estão corretas.,Todas as alternativas estão erradas.,Somente duas alternativas estão corretas.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 38)",Difícil
[Português] Em qual das opções abaixo o acento indicativo de crase foi corretamente empregado?,Andavam lado à lado.,Iremos à Curitiba e depois à Londrina.,Devemos aliar a teoria à prática.,Retornamos à casa.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 39)",Fácil
[Português] Assinale a alternativa CORRETA quanto ao uso obrigatório da vírgula:,"A bicicleta e o carrinho, estão guardados no depósito.","Depois de terminar o trabalho, Maria decidiu sair para jantar.","A professora explicou, a matéria com clareza.","Por que, você não me ouve nunca Rita?",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 40)",Médio
"[Português] Em relação ao conceito de períodos, frases e orações, analise: I. A frase não necessita de um verbo para fazer sentido. II. A oração não necessita de um verbo para fazer sentido. III. O período é toda frase constituída por uma ou mais orações. IV. Toda frase é uma oração, mas nem toda oração é uma frase. Está CORRETO o que se afirma em:","II e IV, apenas.","I e III, apenas.","I, III e IV, apenas.","I, II e III, apenas.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 41)",Difícil
[Português] Marque a frase cuja concordância nominal está INCORRETA:,Homem de ideia e pensamento fixo.,Água é boa para matar a sede.,Elas se despediram com vários obrigadas.,Passei dias e noites frias naquela cidade. 12,B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 42)",Fácil
"[Português] Quando  a  oração  não  tem  sujeito,  o  verbo  fica  na  terceira  pessoa  do  singular.  Esta  afirmação  pode  ser comprovada em:",Ainda há gente sem emprego.,Existe muita família indiferente.,É proibida a entrada.,Chegou a encomenda de doces.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 43)",Médio
[Português] Assinale o item em que há oração subordinada adverbial condicional reduzida de particípio:,"Cumprida a sua promessa, poderá fazer como entender.","Já que a cidade está alagada, não haverá aulas hoje.","Ela dormiu bastante, tanto que acordou na hora do almoço.","Menos do que ontem, ele se atrasou para o jantar.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 44)",Difícil
"[Português] Na oração ""A dupla de policiais levou-os à sua Unidade, que estava perto do incidente, onde ofereceu apoio às vítimas"", está CORRETO afirmar que estão explícitos:","Um pronome pessoal, um pronome possessivo e dois pronomes relativos.",Dois pronomes possessivos e dois pronomes pessoais.,Dois pronomes pessoais e dois pronomes relativos.,"Um pronome pessoal, um pronome possessivo, um pronome relativo e um pronome interrogativo. 13",A,"Gabarito Oficial: Letra A. (Fonte: Volume 1, Questão 45)",Fácil
"[Português] De acordo com o texto, o policiamento comunitário contribui para a atividade de inteligência porque:",Substitui a repressão qualificada dos delitos.,Amplia o fluxo de informações espontâneas da população.,Reduz o efetivo necessário nas ruas.,Antecipa exclusivamente indicadores de desempenho.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 31)",Médio
"[Português] O termo ""tal modelo"", no último período do texto, retoma:",A repressão qualificada dos delitos.,A construção de vínculos de confiança.,O policiamento comunitário.,Os indicadores de desempenho.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 32)",Difícil
"[Português] A palavra ""Entretanto"", que abre o último período do texto, introduz uma ideia de:",Adição.,Conclusão.,Oposição/ressalva.,Causa.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 33)",Fácil
"[Português] Em ""quando bem estruturadas"", a oração destacada expressa circunstância de:",Causa.,Condição.,Concessão.,Finalidade. 9,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 34)",Médio
"[Português] No trecho ""o que, por sua vez, qualifica a atividade de inteligência"", o pronome relativo ""que"" retoma:","Apenas ""informações espontâneas"".",Toda a ideia do período anterior.,"Apenas a palavra ""comunidade"".","Apenas a palavra ""delitos"".",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 35)",Difícil
"[Português] O  verbo  ""conciliar"",  como  empregado  no  texto  (""concilie  a  repressão  [...]  com  a  construção""),  exige complemento regido pela preposição:",De.,Em.,Com.,Para.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 36)",Fácil
"[Português] Assinale a alternativa que preenche corretamente a lacuna: ""Ontem à noite, assisti ____ um documentário sobre policiamento comunitário.""",a,à,ao,Não se usa preposição,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 37)",Médio
[Português] Assinale a alternativa em que o acento indicativo de crase foi empregado CORRETAMENTE:,Ele obedece à as ordens superiores.,Chegamos à academia de polícia às sete horas.,Referia-se à ela com respeito.,Estou disposto à ajudar no que for preciso.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 38)",Difícil
"[Português] Assinale a alternativa com concordância verbal CORRETA: ""Mais de um candidato ____ reprovado no teste físico.""",foi,foram,fôramos,sejam,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 39)",Fácil
"[Português] Assinale a alternativa com concordância verbal CORRETA: ""O comandante e o subcomandante ____ à reunião.""",compareceu,compareceram,compareceria,tem comparecido 10,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 40)",Médio
"[Português] Assinale a alternativa que preenche corretamente: ""Havia ____ soldados disponíveis para a diligência.""",bastante,bastantes,bastantemente,bastantes soldado,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 41)",Difícil
[Português] Assinale a alternativa em que a colocação pronominal está de acordo com a norma-padrão:,Não se pode negar os resultados da operação.,Não pode-se negar os resultados da operação.,"Negar-se-á os resultados, não pode.","Não, se pode negar os resultados.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 42)",Fácil
[Português] Assinale a única alternativa em que a colocação pronominal está de acordo com a norma-padrão:,O instrutor disse que se prepararia o grupo para o teste.,O instrutor disse que preparar-se-ia o grupo para o teste.,Ninguém preparar-se-ia sem orientação prévia.,Alguém telefonará-lhe amanhã para confirmar o horário.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 43)",Médio
"[Português] Assinale a alternativa em que o termo ""que"" introduz oração subordinada substantiva objetiva direta:",O soldado que atuou na ocorrência foi elogiado.,É certo que a corporação valoriza o mérito.,O comandante afirmou que reforçaria o policiamento.,Que belo desfile realizou o batalhão!,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 44)",Difícil
"[Português] Em ""Vendem-se armamentos apenas a órgãos autorizados"", a partícula ""se"" é:",Índice de indeterminação do sujeito.,Partícula apassivadora.,Conjunção condicional.,Parte integrante do verbo.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 45)",Fácil
"[Português] Em ""Precisa-se de novos recrutas"", o ""se"" é:",Partícula apassivadora.,Índice de indeterminação do sujeito.,Pronome reflexivo.,Conjunção integrante. 11,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 46)",Médio
[Português] Assinale a alternativa pontuada CORRETAMENTE:,"O comandante, Coronel Alves assumiu o batalhão em janeiro.","O comandante, Coronel Alves, assumiu o batalhão em janeiro.","O comandante Coronel, Alves assumiu o batalhão em janeiro.","O comandante Coronel Alves, assumiu, o batalhão em janeiro.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 47)",Difícil
"[Português] Assinale a única alternativa que contém erro de pontuação, segundo a norma-padrão:","Os recrutas mais disciplinados, receberam elogio do comandante.",Os recrutas mais disciplinados receberam elogio do comandante.,"Após o treinamento, os recrutas descansaram.","Concluído o curso, os soldados foram declarados aptos.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 48)",Fácil
"[Português] Assinale a alternativa que preenche corretamente: ""Seguem ____ os documentos solicitados.""",anexo,anexos,anexa,anexas,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 49)",Médio
"[Português] Assinale a alternativa que preenche corretamente: ""Ela ficou ____ preocupada com o resultado do exame.""",meia,meio,meias,meios,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 50)",Difícil
"[Português] Assinale a alternativa que preenche corretamente: ""O soldado teve um ____ desempenho na prova de tiro, o que o deixou ____ humorado.""",mau / mal,mal / mau,mau / mau,mal / mal,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 51)",Fácil
"[Português] Assinale a alternativa que preenche corretamente: ""Não entendi ____ o instrutor cancelou o treinamento.""",porque,por que,porquê,por quê 12,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 52)",Médio
"[Português] Assinale a alternativa que preenche corretamente: ""____ você vai levar a viatura?""",Onde,Aonde,Donde,Por onde,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 53)",Difícil
"[Português] Assinale a palavra acentuada pela mesma regra que ""saída"":",sofá,país,também,álbum,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 54)",Fácil
"[Português] Transponha para a voz passiva analítica: ""A banca elaborou as questões.""",As questões foram elaboradas pela banca.,As questões elaboraram-se pela banca.,A banca foi elaborada pelas questões.,As questões elaboraram a banca.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 55)",Médio
"[Português] Assinale a frase em que o verbo ""preferir"" está corretamente empregado, segundo a norma culta:",Prefiro estudar do que descansar.,Prefiro estudar a descansar.,Prefiro mais estudar que descansar.,Prefiro estudar em vez de descansar.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 56)",Difícil
