Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[Constitucional] A Constituição da República Federativa do Brasil de 1988 prevê que os Estados organizarão sua Justiça, aí incluída a Justiça Militar Estadual. Avalie: ( ) A lei estadual poderá criar, mediante proposta do Tribunal de Justiça, a Justiça Militar estadual, constituída, em 1º grau, pelos juízes de direito e Conselhos de Justiça e, em 2º grau, pelo próprio Tribunal de Justiça, ou por Tribunal de Justiça Militar nos Estados com efetivo militar superior a quinze mil integrantes. ( ) Compete à Justiça Militar estadual processar e julgar os militares dos Estados nos crimes militares definidos em lei e ações contra atos disciplinares militares, ressalvada a competência do júri quando a vítima for militar da ativa. ( ) Compete aos juízes de direito do juízo militar processar e julgar, singularmente, os crimes militares cometidos contra civis. ( ) A competência dos tribunais será definida na Constituição do Estado, sendo a lei de organização judiciária de iniciativa do Tribunal de Justiça. A sequência CORRETA, de cima para baixo, é:","V, F, V, V.","V, V, F, F.","F, F, V, V.","F, V, F, F. 23",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 76)",Médio
"[Constitucional] O capítulo da Constituição da República Federativa do Brasil de 1988 que trata das Forças Armadas possui dispositivos  replicados  nas  Constituições  Estaduais.  Assinale  a  alternativa  CORRETA  quanto  às  normas constitucionais previstas para as Forças Armadas, nos termos do art. 142 e seguintes.","Ao militar são proibidas a sindicalização e a greve geral, sendo esta permitida somente de forma parcial, mantendo, no mínimo, 25% do efetivo em atividade.",O militar com mais de 10 anos no serviço ativo pode estar filiado a partidos políticos.,"O militar em atividade que tomar posse em cargo ou emprego público civil permanente, ressalvada a hipótese prevista no art. 37, inciso XVI, alínea ""c"", perderá o posto ou a patente.",Não caberá habeas corpus em relação a punições disciplinares militares.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 77)",Difícil
"[Constitucional] No  que  se  refere  aos  direitos  individuais  e  coletivos  previstos  no  art.  5º,  da  Constituição  da  República Federativa do Brasil de 1988, assinale a alternativa CORRETA:","Ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, podendo eximir-se de obrigação legal a todos imposta ou mesmo não cumprir prestação alternativa em prol da liberdade de credo.","São invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado ao ofendido o direito de revidar a violação da mesma forma sofrida.","A prisão de qualquer pessoa e o local onde se encontre serão comunicados ao defensor constituído, se existir, após o trâmite de ratificação do flagrante delito.","Homens e mulheres são iguais em direitos e obrigações, nos termos da Constituição. Um desses direitos é a livre manifestação de pensamento, sendo vedado o anonimato.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 78)",Fácil
"[Constitucional] Quanto às penas previstas no capítulo de direitos e deveres individuais e coletivos da Constituição da República Federativa do Brasil de 1988, assinale a alternativa INCORRETA:","A lei regulará a individualização da pena e adotará, entre outras, as seguintes: privação ou restrição da liberdade, perda de bens, multa, prestação social alternativa, suspensão ou interdição de direitos.","Não haverá penas cruéis, de caráter perpétuo, de trabalhos forçados, de banimento ou de morte, salvo, a última, em caso de guerra declarada, nos termos do art. 84, XIX.",Às presidiárias serão asseguradas condições para que possam permanecer com seus filhos durante a primeira infância.,"A pena será cumprida em estabelecimentos distintos, de acordo com a natureza do delito, a idade e o sexo do apenado. É assegurado aos presos o respeito à integridade física e moral.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 79)",Médio
"[Constitucional] No  que  se  refere  aos  princípios  que  regem  as  relações  internacionais  da  República  Federativa  do  Brasil, insculpidos no art. 4º da Constituição Federal de 1988, assinale a alternativa CORRETA:",A garantia do desenvolvimento nacional é um dos princípios que regem as relações internacionais da República Federativa do Brasil.,O pluralismo político é um dos princípios que regem as relações internacionais do Brasil.,"A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.","Entre os princípios que regem as relações internacionais brasileiras, citam-se a cidadania e a construção de uma sociedade livre, justa e solidária. 24",C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 80)",Difícil
"[Constitucional] Analise: I. Às polícias civis, dirigidas por delegados de polícia de carreira, incumbem, incluída a competência da União, as funções de polícia judiciária e a apuração de infrações penais, inclusive as militares. II. As polícias militares e os corpos de bombeiros militares subordinam-se, juntamente com as polícias civis e as polícias penais estaduais e distrital, aos Governadores dos Estados, do Distrito Federal e dos Territórios. III. Às polícias penais cabe a segurança dos estabelecimentos penais. IV. A segurança viária compreende educação, engenharia e fiscalização de trânsito, competindo, no âmbito dos Estados, do Distrito Federal e dos Municípios, aos respectivos órgãos ou entidades executivos e seus agentes de trânsito. Em  relação  à  segurança  pública  tratada  no  art.  144  da  Constituição  Federal  de  1988,  marque  a  alternativa CORRETA:",Apenas uma assertiva é correta.,Duas assertivas estão corretas.,Três assertivas estão corretas.,Todas as assertivas estão corretas.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 81)",Fácil
"[Constitucional] No que diz respeito aos aspectos acerca da Administração Pública trazidos pelo art. 37 da Constituição Federal de 1988, assinale a alternativa CORRETA:","Ao militar é garantido o direito à livre associação sindical, nos termos da lei complementar.","Extrapolado o prazo previsto no edital de convocação, o candidato aprovado em concurso público será convocado com prioridade, em detrimento dos novos concursados, para assumir cargo ou emprego, na carreira.",Os vencimentos dos cargos do Poder Legislativo e do Poder Judiciário não poderão ser superiores aos pagos pelo Poder Executivo.,"Os cargos em comissão, exercidos exclusivamente por servidores ocupantes de cargo efetivo, e as funções de confiança, a serem preenchidas por servidores de carreira nos casos, condições e percentuais mínimos previstos em lei, destinam-se apenas às atribuições de direção, chefia e assessoramento.",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 82)",Médio
"[Constitucional] Acerca das disposições sobre Tribunais e Juízes dos Estados previstas no art. 125 da Constituição Federal de 1988, assinale a alternativa INCORRETA:","Compete à Justiça Militar estadual processar e julgar os militares dos Estados, nos crimes militares definidos em lei e as ações judiciais contra atos disciplinares militares, ressalvada a competência do júri quando a vítima for civil, cabendo ao tribunal competente decidir sobre a perda do posto e da patente dos oficiais e da graduação das praças.","Compete aos juízes de direito do juízo militar processar e julgar, singularmente, os crimes militares cometidos contra civis e as ações judiciais contra atos disciplinares militares, cabendo ao Conselho de Justiça, sob a presidência de juiz de direito, processar e julgar os demais crimes militares.","Cabe aos Estados a instituição de representação de inconstitucionalidade de leis ou atos normativos estaduais ou municipais em face da Constituição Estadual, vedada a atribuição da legitimação para agir a um único órgão.","A lei estadual poderá criar, mediante proposta do Governador do Estado, a Justiça Militar estadual, nos Estados em que o efetivo militar seja superior a vinte mil integrantes. 25",D,"Gabarito Oficial: Letra D. (Fonte: Volume 1, Questão 83)",Difícil
"[Constitucional] Fulano, integrante da carreira diplomática, a serviço da República Federativa do Brasil nos EUA, conheceu Cicrana, norte-americana, com quem teve um filho, Beltrano. Beltrano nasceu em território estrangeiro e, ainda na infância, tão logo concluída a missão de Fulano, estabeleceu residência permanente no Brasil com seus genitores. Ao atingir a maioridade, Beltrano quis realizar concurso público para se tornar oficial do Exército Brasileiro. Considerando o caso e os aspectos da nacionalidade do art. 12 da CF/88, assinale a alternativa CORRETA:","Como nasceu em território norte-americano, Beltrano somente poderá ingressar nas fileiras do Exército Brasileiro como oficial se adquirir a nacionalidade brasileira, o que será possível se residente no Brasil há mais de quinze anos ininterruptos e sem condenação penal, desde que requeira a nacionalidade.","Segundo disposição do texto constitucional vigente, Beltrano é brasileiro nato, não encontrando vedações ao exercício do cargo privativo almejado.","Beltrano é considerado norte-americano, porém, como estabeleceu residência permanente no Brasil e há reciprocidade em favor de brasileiros nos EUA, serão atribuídos os direitos inerentes ao brasileiro; caso adquira a nacionalidade brasileira, poderá exercer o almejado cargo de oficial das Forças Armadas.","Ainda que Beltrano fosse considerado brasileiro naturalizado, seria possível assumir o cargo de oficial do Exército Brasileiro, pois a legislação não poderá estabelecer distinção entre brasileiros natos e naturalizados.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 1, Questão 84)",Fácil
"[Constitucional] Em relação aos direitos e deveres individuais e coletivos, consagrados no art. 5º da Constituição Federal de 1988, assinale a alternativa CORRETA:","Constituem crimes inafiançáveis e imprescritíveis o racismo, a prática da tortura, o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os definidos como crimes hediondos, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem.","Será a todos assegurados, independentemente do pagamento de taxas, o mandado de segurança, que será concedido para proteger direito líquido e certo, não amparado por habeas corpus ou habeas data, quando o responsável pela ilegalidade ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de atribuições do Poder Público.","É inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal.",São a todos gratuitos o registro civil de nascimento e a certidão de óbito. 26,C,"Gabarito Oficial: Letra C. (Fonte: Volume 1, Questão 85)",Médio
"[Constitucional] A respeito da inviolabilidade de domicílio (art. 5º, XI, CF/88), é CORRETO afirmar que a entrada em casa alheia sem consentimento do morador, durante a noite, é permitida:","Mediante ordem judicial, ainda que a diligência não seja cumprida durante o dia.","Em caso de flagrante delito, desastre ou para prestar socorro, independentemente de hora ou ordem judicial.",Somente mediante autorização do Ministério Público.,"Em qualquer hipótese, desde que precedida de mandado de busca.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 81)",Fácil
"[Constitucional] Segundo a literalidade do art. 5º, XI, da CF/88, o cumprimento de mandado judicial de busca e apreensão domiciliar, quando não amparado por flagrante delito, desastre ou pedido de socorro, somente pode ocorrer:",A qualquer hora do dia ou da noite.,Durante o dia.,Somente à noite.,"Em qualquer horário, desde que acompanhado de dois policiais.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 82)",Médio
[Constitucional] O remédio constitucional destinado a assegurar o conhecimento de informações relativas à pessoa do impetrante constantes de registros ou bancos de dados de entidades governamentais ou de caráter público é:,Habeas corpus.,Mandado de segurança.,Habeas data.,Mandado de injunção.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 83)",Difícil
[Constitucional] O remédio constitucional cabível quando a falta de norma regulamentadora torna inviável o exercício de direitos e liberdades constitucionais é:,Ação popular.,Mandado de injunção.,Habeas data.,Ação civil pública.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 84)",Fácil
"[Constitucional] Qualquer cidadão é parte legítima para propor ação que vise anular ato lesivo ao patrimônio público, à moralidade administrativa, ao meio ambiente e ao patrimônio histórico e cultural. Trata-se da:",Ação civil pública.,Ação popular.,Ação direta de inconstitucionalidade.,Ação declaratória de constitucionalidade. 18,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 85)",Médio
"[Constitucional] São órgãos responsáveis pela segurança pública, nos termos do art. 144 da Constituição Federal, EXCETO:",Polícia Federal.,Polícia Rodoviária Federal.,Guarda Nacional.,Polícias Militares e Corpos de Bombeiros Militares.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 86)",Difícil
"[Constitucional] As Polícias Militares e Corpos de Bombeiros Militares, forças auxiliares e reserva do Exército, subordinam- se, juntamente com as Polícias Civis, aos:","Governadores dos Estados, do Distrito Federal e dos Territórios.",Presidente da República.,Comandante do Exército.,Ministério da Justiça.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 87)",Fácil
"[Constitucional] , é CORRETO afirmar que a entrada em casa alheia sem consentimento do morador, durante a noite, é permitida:","Mediante ordem judicial, ainda que a diligência não seja cumprida durante o dia.","Em caso de flagrante delito, desastre ou para prestar socorro, independentemente de hora ou ordem judicial.",Somente mediante autorização do Ministério Público.,"Em qualquer hipótese, desde que precedida de mandado de busca.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 88)",Médio
"[Constitucional] O prazo de validade do concurso público será de até ____ anos, prorrogável uma vez, por igual período.",1 (um),2 (dois),3 (três),4 (quatro),B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 89)",Difícil
[Constitucional] A Ação Direta de Inconstitucionalidade (ADI) tem por finalidade:,Declarar a constitucionalidade de lei ou ato normativo federal.,Declarar a inconstitucionalidade de lei ou ato normativo federal ou estadual em face da Constituição Federal.,Impugnar ato normativo municipal em face da Constituição Estadual.,Suprir omissão legislativa.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 90)",Fácil
"[Constitucional] A Arguição de Descumprimento de Preceito Fundamental (ADPF) é cabível para evitar ou reparar lesão a preceito fundamental resultante de ato do Poder Público, sendo admitida, inclusive, em relação a:",Leis ou atos normativos municipais e anteriores à Constituição.,Apenas leis federais posteriores a 1988.,Apenas decretos estaduais.,Somente atos do Poder Judiciário. 19,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 91)",Médio
"[Constitucional] Não será objeto de deliberação a proposta de emenda tendente a abolir, segundo o art. 60, §4º, da CF/88, EXCETO:",A forma federativa de Estado.,"O voto direto, secreto, universal e periódico.",A separação dos Poderes.,O sistema presidencialista de governo.,D,"Gabarito Oficial: Letra D. (Fonte: Volume 2, Questão 92)",Difícil
"[Constitucional] A proposta de emenda constitucional será discutida e votada em cada Casa do Congresso Nacional, em dois turnos, considerando-se aprovada se obtiver, em ambos, ____ dos votos dos respectivos membros.",Maioria simples.,Maioria absoluta.,Três quintos.,Dois terços.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 93)",Fácil
"[Constitucional] O estado de defesa, diferentemente do estado de sítio, pode ser decretado pelo Presidente da República:",Somente após autorização prévia do Congresso Nacional.,"Independentemente de prévia autorização do Congresso Nacional, que deverá ser comunicado em até 24 horas.",Somente com aprovação do STF.,Somente em caso de guerra declarada.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 94)",Médio
[Constitucional] O estado de sítio pode ser decretado nos casos de:,Comoção grave de repercussão nacional ou ineficácia de medida tomada durante o estado de defesa; ou declaração de estado de guerra ou resposta a agressão armada estrangeira.,Apenas calamidade pública de grandes proporções na natureza.,Apenas grave e iminente instabilidade institucional.,Somente em caso de epidemia.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 95)",Difícil
"[Constitucional] NÃO constitui hipótese de intervenção da União nos Estados, prevista no art. 34 da CF/88:",Manter a integridade nacional.,Repelir invasão estrangeira ou de uma unidade da Federação em outra.,Promover a desapropriação de imóveis rurais para fins de reforma agrária.,Assegurar a observância dos princípios constitucionais sensíveis.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 96)",Fácil
"[Constitucional] As Comissões Parlamentares de Inquérito, que terão poderes de investigação próprios das autoridades judiciais, serão criadas mediante requerimento de:","Um terço de seus membros, para apuração de fato determinado e por prazo certo.",Maioria absoluta de seus membros.,Dois terços de seus membros.,"Qualquer membro, independentemente de apoio. 20",A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 97)",Médio
"[Constitucional] O Supremo Tribunal Federal compõe-se de ____ Ministros, escolhidos dentre cidadãos com mais de 35 e menos de 65 anos de idade, de notável saber jurídico e reputação ilibada.",9,11,13,15,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 98)",Difícil
"[Constitucional] Os Ministros do Supremo Tribunal Federal serão nomeados pelo Presidente da República, depois de aprovada a escolha:","Pela Câmara dos Deputados, por maioria absoluta.",Pela maioria absoluta do Senado Federal.,Pela maioria simples do Congresso Nacional.,Pela maioria absoluta do Congresso Nacional em sessão conjunta.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 99)",Fácil
"[Constitucional] A súmula vinculante, aprovada por dois terços dos membros do STF, terá efeito vinculante em relação:",Apenas aos demais órgãos do Poder Judiciário.,"Aos demais órgãos do Poder Judiciário e à administração pública direta e indireta, nas esferas federal, estadual e municipal.",Somente ao Poder Executivo Federal.,Somente às partes do processo em que foi editada.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 100)",Médio
"[Constitucional] São direitos sociais, segundo o art. 6º da Constituição Federal, EXCETO:",Educação.,Segurança.,Propriedade.,Lazer.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 101)",Difícil
"[Constitucional] São brasileiros natos, EXCETO:","Os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país.","Os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que registrados em repartição brasileira competente ou venham a residir no Brasil e optem pela nacionalidade brasileira.",Os naturalizados que residam no Brasil há mais de 15 anos ininterruptos e sem condenação penal.,"Os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que qualquer um esteja a serviço da República Federativa do Brasil.",C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 102)",Fácil
"[Constitucional] São inalistáveis e, portanto, inelegíveis:",Os maiores de 70 anos.,"Os estrangeiros e os conscritos, durante o serviço militar obrigatório.",Os analfabetos.,Os maiores de 16 e menores de 18 anos. 21,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 103)",Médio
"[Constitucional] Compete privativamente ao Senado Federal processar e julgar o Presidente da República nos crimes de responsabilidade, funcionando nesse julgamento como Presidente:",O Presidente do Senado Federal.,O Presidente do Supremo Tribunal Federal.,O Vice-Presidente da República.,O Procurador-Geral da República.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 104)",Difícil
"[Constitucional] São princípios institucionais do Ministério Público, conforme o art. 127 da CF/88:","Unidade, indivisibilidade e independência funcional.","Hierarquia, unidade e subordinação ao Executivo.","Autonomia financeira, mas subordinação administrativa ao Judiciário.","Vitaliciedade, irredutibilidade e disponibilidade.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 105)",Fácil
"[Constitucional] A Defensoria Pública é instituição permanente, essencial à função jurisdicional do Estado, incumbindo- lhe, fundamentalmente:",A representação judicial da União.,"A orientação jurídica, a promoção dos direitos humanos e a defesa dos direitos individuais e coletivos, de forma integral e gratuita, aos necessitados.",A fiscalização externa da atividade policial.,A defesa do patrimônio público em juízo.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 106)",Médio
"[Constitucional] O Sistema Único de Saúde, previsto na Constituição, constitui uma rede:","Regionalizada e hierarquizada, organizada segundo diretrizes de descentralização, atendimento integral e participação da comunidade.","Exclusivamente estadual, sem participação municipal.","Privada, com subsídio estatal parcial.","Centralizada na União, sem regionalização.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 107)",Difícil
"[Constitucional] As Forças Armadas, sob a autoridade suprema do Presidente da República, destinam-se:",Exclusivamente à defesa da pátria.,"À defesa da Pátria, à garantia dos poderes constitucionais e, por iniciativa de qualquer destes, da lei e da ordem.",Apenas à manutenção da ordem pública nos grandes eventos.,À polícia ostensiva e à preservação da ordem pública nos estados.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 108)",Fácil
"[Constitucional] A organização político-administrativa da República Federativa do Brasil compreende a União, os Estados, o Distrito Federal e os Municípios, sendo todos:",Subordinados hierarquicamente à União.,"Autônomos, nos termos da Constituição Federal.",Soberanos.,"Subordinados ao Estado a que pertencem, no caso dos Municípios. 22",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 109)",Médio
"[Constitucional] Compete aos Municípios, dentre outras atribuições previstas no art. 30 da CF/88:",Legislar sobre direito penal.,"Instituir e arrecadar os tributos de sua competência, bem como aplicar suas rendas.",Organizar a Justiça Estadual.,Manter Polícia Militar própria.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 110)",Difícil
[Constitucional] A Constituição poderá ser emendada mediante proposta de:,"Um terço, no mínimo, dos membros da Câmara ou do Senado; do Presidente da República; ou de mais da metade das Assembleias Legislativas, cada uma pela maioria relativa.","Qualquer cidadão, mediante iniciativa popular direta.","Maioria absoluta da Câmara dos Deputados, isoladamente.",Somente do Presidente da República.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 111)",Fácil
[Constitucional] A Constituição não poderá ser emendada na vigência de:,"Estado de defesa, estado de sítio ou intervenção federal.",Recesso parlamentar.,Governo de coalizão.,Eleições municipais.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 112)",Médio
