Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[RLM] Uma urna contém 5 bolas vermelhas e 7 azuis. Retirando-se 3 bolas sem reposição, a probabilidade de que exatamente 2 sejam vermelhas é:",7/22,21/44,5/22,1/2,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 3)",Fácil
"[RLM] Em uma pesquisa com 200 policiais, 120 praticam corrida, 90 praticam musculação e 40 praticam ambas as atividades. Quantos não praticam nenhuma das duas?",20,30,40,50,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 4)",Médio
[RLM] Um produto sofre dois descontos sucessivos de 20% e 15%. O desconto total equivalente é de:,30%,32%,35%,68% 3,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 5)",Difícil
"[RLM] Um  capital  de  R$  2.000,00  aplicado  a  juros  compostos  de  10%  ao  mês,  durante  2  meses,  rende  um montante de:","R$ 2.400,00","R$ 2.420,00","R$ 2.440,00","R$ 2.200,00",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 6)",Fácil
"[RLM] A negação da proposição ""Se chove, então uso guarda-chuva"" é:",Não chove e não uso guarda-chuva,Chove e não uso guarda-chuva,"Se não chove, não uso guarda-chuva",Não chove ou uso guarda-chuva,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 7)",Médio
"[RLM] De quantas formas 4 policiais podem ser dispostos em fila para uma foto, se dois deles (A e B) devem ficar sempre juntos?",6,12,18,24,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 8)",Difícil
"[RLM] Numa progressão aritmética, o 5º termo é 17 e o 10º termo é 37. A razão dessa progressão é:",2,3,4,5,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 9)",Fácil
"[RLM] Observe a sequência: 2, 6, 12, 20, 30, ... O próximo termo é:",36,40,42,44,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 10)",Médio
[RLM] A proposição ~(p ∨ q) é logicamente equivalente a:,~p ∨ ~q,~p ∧ ~q,p ∧ q,p ∨ q 4,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 11)",Difícil
"[RLM] Em um batalhão, 60% dos policiais são homens. Dentre os homens, 30% praticam artes marciais; dentre as mulheres, 50% praticam. Escolhido um policial ao acaso, a probabilidade de que pratique artes marciais é:",30%,38%,40%,50%,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 12)",Fácil
"[RLM] O número de anagramas da palavra ""SOLDADO"" é:",5.040,2.520,1.260,630,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 13)",Médio
"[RLM] Se 8 operários constroem um muro de 40 m em 5 dias, trabalhando 6h por dia, quantos dias 10 operários levarão para construir um muro de 60 m, trabalhando 8h por dia?",3 dias,4 dias,"4,5 dias",5 dias,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 14)",Difícil
"[RLM] Considere as premissas: ""Todo policial é disciplinado"" e ""João é policial"". Logo:",João não é disciplinado,João é disciplinado,Todo disciplinado é policial,Nenhuma conclusão é possível,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 15)",Fácil
"[RLM] Numa reunião com 10 pessoas, cada uma cumprimenta todas as outras uma única vez com um aperto de mão. O número total de apertos de mão é:",45,90,50,100,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 16)",Médio
"[RLM] O salário de um soldado sofreu um aumento de 8% em janeiro e, em março, uma redução de 5%. Em relação ao salário original, o salário final representa:","Aumento de 2,6%",Aumento de 3%,"Redução de 2,6%",Aumento de 13% 5,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 17)",Difícil
"[RLM] A negação da proposição ""Todos os policiais desta unidade portam arma"" é:",Nenhum policial desta unidade porta arma,Algum policial desta unidade não porta arma,Todos os policiais desta unidade não portam arma,Algum policial de outra unidade porta arma,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 18)",Fácil
"[RLM] A soma das idades de três irmãos é 45 anos. O mais velho tem o dobro da idade do caçula, e o do meio tem 5 anos a mais que o caçula. Qual é a idade do caçula?",8 anos,10 anos,12 anos,15 anos,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 19)",Médio
"[RLM] Lançando-se dois dados honestos, a probabilidade de que a soma dos pontos seja igual a 8 é:",5/36,1/6,4/36,6/36,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 20)",Difícil
[RLM] A proposição p ∧ (q ∨ ~q) é logicamente equivalente a:,p,q,~p,Uma contradição,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 21)",Fácil
[RLM] O terceiro termo de uma progressão geométrica é 12 e o sexto termo é 96. A soma dos 4 primeiros termos dessa PG é:,36,45,48,60,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 22)",Médio
"[RLM] As notas de um candidato em três provas, com pesos 2, 3 e 5, foram 6, 7 e 8, respectivamente. Sua média ponderada é:","7,0","7,1","7,3","7,5 6",C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 23)",Difícil
"[RLM] Se hoje é quarta-feira, que dia da semana será daqui a 100 dias?",Quinta-feira,Sexta-feira,Sábado,Domingo,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 24)",Fácil
"[RLM] Dada a proposição ""Se P é promovido, então P foi aprovado no curso"", a proposição CONTRÁRIA é:","Se P foi aprovado, então P é promovido","Se P não é promovido, então P não foi aprovado no curso","Se P não foi aprovado, então P não é promovido",P é promovido e não foi aprovado,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 25)",Médio
"[RLM] Uma equipe deve ser formada por 3 policiais escolhidos entre 5 homens e 4 mulheres, devendo conter pelo menos 1 mulher. De quantas formas isso pode ser feito?",64,70,74,84,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 26)",Difícil
"[RLM] Um valor, após sofrer um aumento de 25%, passou a custar R$ 500,00. O valor original era de:","R$ 375,00","R$ 380,00","R$ 400,00","R$ 425,00",C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 27)",Fácil
"[RLM] Três suspeitos, A, B e C, fazem declarações: A diz ""B mente""; B diz ""C mente""; C diz ""A e B mentem"". Sabendo que apenas um deles fala a verdade, quem é o verdadeiro?",A,B,C,Nenhum deles,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 28)",Médio
"[RLM] Um comerciante compra um produto por R$ 80,00 e deseja obter um lucro de 25% sobre o preço de VENDA (não sobre o custo). O preço de venda deve ser:","R$ 100,00","R$ 104,00","R$ 106,67","R$ 110,00 7",C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 29)",Difícil
"[RLM] Uma torneira enche um tanque em 6 horas e outra em 4 horas. Funcionando juntas, em quanto tempo encherão o tanque?",2 horas,"2,4 horas","2,5 horas",3 horas 8,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 30)",Fácil
